skill,model,mean_pass_rate,sd_across_cases,n_cases,n_runs
build,claude-haiku-4.5,1.0000,0.0000,10,50
build,claude-opus-4.8,1.0000,0.0000,10,50
build,claude-sonnet-4.6,1.0000,0.0000,10,50
build,gemini-2.5-flash,1.0000,0.0000,10,50
build,gemini-2.5-pro,1.0000,0.0000,10,50
build,gpt-4.1-nano,0.8400,0.2633,10,50
build,gpt-4o,1.0000,0.0000,10,50
build,gpt-5.5,1.0000,0.0000,10,50
build,o3,0.9800,0.0632,10,50
build,o4-mini,0.9800,0.0632,10,50
conformational-analysis,claude-haiku-4.5,1.0000,0.0000,8,40
conformational-analysis,claude-opus-4.8,1.0000,0.0000,8,40
conformational-analysis,claude-sonnet-4.6,0.9250,0.2121,8,40
conformational-analysis,gemini-2.5-flash,0.9500,0.1414,8,40
conformational-analysis,gemini-2.5-pro,0.9000,0.2828,8,40
conformational-analysis,gpt-4.1-nano,0.5000,0.2828,8,40
conformational-analysis,gpt-4o,1.0000,0.0000,8,40
conformational-analysis,gpt-5.5,1.0000,0.0000,8,40
conformational-analysis,o3,1.0000,0.0000,8,40
conformational-analysis,o4-mini,1.0000,0.0000,8,40
conformer-search,claude-haiku-4.5,0.8222,0.0667,9,45
conformer-search,claude-opus-4.8,1.0000,0.0000,9,45
conformer-search,claude-sonnet-4.6,1.0000,0.0000,9,45
conformer-search,gemini-2.5-flash,1.0000,0.0000,9,45
conformer-search,gemini-2.5-pro,1.0000,0.0000,9,45
conformer-search,gpt-4.1-nano,0.9556,0.0882,9,45
conformer-search,gpt-4o,1.0000,0.0000,9,45
conformer-search,gpt-5.5,1.0000,0.0000,9,45
conformer-search,o3,1.0000,0.0000,9,45
conformer-search,o4-mini,1.0000,0.0000,9,45
electrostatics,claude-haiku-4.5,1.0000,0.0000,9,45
electrostatics,claude-opus-4.8,1.0000,0.0000,9,45
electrostatics,claude-sonnet-4.6,1.0000,0.0000,9,45
electrostatics,gemini-2.5-flash,1.0000,0.0000,9,45
electrostatics,gemini-2.5-pro,1.0000,0.0000,9,45
electrostatics,gpt-4.1-nano,0.9778,0.0667,9,45
electrostatics,gpt-4o,1.0000,0.0000,9,45
electrostatics,gpt-5.5,1.0000,0.0000,9,45
electrostatics,o3,1.0000,0.0000,9,45
electrostatics,o4-mini,1.0000,0.0000,9,45
frontier-orbitals,claude-haiku-4.5,1.0000,0.0000,9,45
frontier-orbitals,claude-opus-4.8,1.0000,0.0000,9,45
frontier-orbitals,claude-sonnet-4.6,1.0000,0.0000,9,45
frontier-orbitals,gemini-2.5-flash,1.0000,0.0000,9,45
frontier-orbitals,gemini-2.5-pro,0.9778,0.0667,9,45
frontier-orbitals,gpt-4.1-nano,1.0000,0.0000,9,45
frontier-orbitals,gpt-4o,1.0000,0.0000,9,45
frontier-orbitals,gpt-5.5,0.9111,0.1453,9,45
frontier-orbitals,o3,0.9333,0.1000,9,45
frontier-orbitals,o4-mini,1.0000,0.0000,9,45
fukui,claude-haiku-4.5,1.0000,0.0000,9,45
fukui,claude-opus-4.8,1.0000,0.0000,9,45
fukui,claude-sonnet-4.6,1.0000,0.0000,9,45
fukui,gemini-2.5-flash,1.0000,0.0000,9,45
fukui,gemini-2.5-pro,1.0000,0.0000,9,45
fukui,gpt-4.1-nano,0.9333,0.2000,9,45
fukui,gpt-4o,1.0000,0.0000,9,45
fukui,gpt-5.5,1.0000,0.0000,9,45
fukui,o3,1.0000,0.0000,9,45
fukui,o4-mini,1.0000,0.0000,9,45
logp-partition,claude-haiku-4.5,1.0000,0.0000,9,45
logp-partition,claude-opus-4.8,1.0000,0.0000,9,45
logp-partition,claude-sonnet-4.6,1.0000,0.0000,9,45
logp-partition,gemini-2.5-flash,1.0000,0.0000,9,45
logp-partition,gemini-2.5-pro,1.0000,0.0000,9,45
logp-partition,gpt-4.1-nano,0.7778,0.2108,9,45
logp-partition,gpt-4o,1.0000,0.0000,9,45
logp-partition,gpt-5.5,1.0000,0.0000,9,45
logp-partition,o3,1.0000,0.0000,9,45
logp-partition,o4-mini,1.0000,0.0000,9,45
name-to-smiles,claude-haiku-4.5,0.9750,0.0707,8,40
name-to-smiles,claude-opus-4.8,1.0000,0.0000,8,40
name-to-smiles,claude-sonnet-4.6,1.0000,0.0000,8,40
name-to-smiles,gemini-2.5-flash,1.0000,0.0000,8,40
name-to-smiles,gemini-2.5-pro,1.0000,0.0000,8,40
name-to-smiles,gpt-4.1-nano,0.6250,0.2493,8,40
name-to-smiles,gpt-4o,1.0000,0.0000,8,40
name-to-smiles,gpt-5.5,1.0000,0.0000,8,40
name-to-smiles,o3,0.9750,0.0707,8,40
name-to-smiles,o4-mini,1.0000,0.0000,8,40
pka-acidity,claude-haiku-4.5,1.0000,0.0000,8,40
pka-acidity,claude-opus-4.8,1.0000,0.0000,8,40
pka-acidity,claude-sonnet-4.6,1.0000,0.0000,8,40
pka-acidity,gemini-2.5-flash,0.8250,0.2493,8,40
pka-acidity,gemini-2.5-pro,1.0000,0.0000,8,40
pka-acidity,gpt-4.1-nano,0.4500,0.3665,8,40
pka-acidity,gpt-4o,0.8000,0.2828,8,40
pka-acidity,gpt-5.5,1.0000,0.0000,8,40
pka-acidity,o3,1.0000,0.0000,8,40
pka-acidity,o4-mini,1.0000,0.0000,8,40
redox-potential,claude-haiku-4.5,1.0000,0.0000,6,30
redox-potential,claude-opus-4.8,1.0000,0.0000,6,30
redox-potential,claude-sonnet-4.6,1.0000,0.0000,6,30
redox-potential,gemini-2.5-flash,1.0000,0.0000,6,30
redox-potential,gemini-2.5-pro,1.0000,0.0000,6,30
redox-potential,gpt-4.1-nano,0.8667,0.1633,6,30
redox-potential,gpt-4o,1.0000,0.0000,6,30
redox-potential,gpt-5.5,1.0000,0.0000,6,30
redox-potential,o3,1.0000,0.0000,6,30
redox-potential,o4-mini,1.0000,0.0000,6,30
single-point,claude-haiku-4.5,1.0000,0.0000,8,40
single-point,claude-opus-4.8,0.9750,0.0707,8,40
single-point,claude-sonnet-4.6,0.9000,0.2828,8,40
single-point,gemini-2.5-flash,0.9750,0.0707,8,40
single-point,gemini-2.5-pro,0.8750,0.3536,8,40
single-point,gpt-4.1-nano,0.7750,0.3770,8,40
single-point,gpt-4o,0.9750,0.0707,8,40
single-point,gpt-5.5,1.0000,0.0000,8,40
single-point,o3,1.0000,0.0000,8,40
single-point,o4-mini,0.9250,0.1035,8,40
solvation,claude-haiku-4.5,1.0000,0.0000,9,45
solvation,claude-opus-4.8,1.0000,0.0000,9,45
solvation,claude-sonnet-4.6,1.0000,0.0000,9,45
solvation,gemini-2.5-flash,1.0000,0.0000,9,45
solvation,gemini-2.5-pro,1.0000,0.0000,9,45
solvation,gpt-4.1-nano,0.8889,0.2667,9,45
solvation,gpt-4o,1.0000,0.0000,9,45
solvation,gpt-5.5,1.0000,0.0000,9,45
solvation,o3,1.0000,0.0000,9,45
solvation,o4-mini,1.0000,0.0000,9,45
vibrational-analysis,claude-haiku-4.5,1.0000,0.0000,9,45
vibrational-analysis,claude-opus-4.8,1.0000,0.0000,9,45
vibrational-analysis,claude-sonnet-4.6,1.0000,0.0000,9,45
vibrational-analysis,gemini-2.5-flash,1.0000,0.0000,9,45
vibrational-analysis,gemini-2.5-pro,1.0000,0.0000,9,45
vibrational-analysis,gpt-4.1-nano,0.9556,0.0882,9,45
vibrational-analysis,gpt-4o,1.0000,0.0000,9,45
vibrational-analysis,gpt-5.5,1.0000,0.0000,9,45
vibrational-analysis,o3,1.0000,0.0000,9,45
vibrational-analysis,o4-mini,0.9333,0.1000,9,45
